instance,max_time,max_it,alpha,runtime,mvc_size
C2000.9,120000,30,0.3,240478,1964
C250.9,120000,30,0.3,99401,214
C4000.5,120000,30,0.3,1722815,3994
C500.9,120000,30,0.3,135159,459
gen200_p0.9_44,120000,30,0.3,49553,168
gen200_p0.9_55,120000,30,0.3,46037,168
gen400_p0.9_55,120000,30,0.3,125837,360
gen400_p0.9_65,120000,30,0.3,121496,361
gen400_p0.9_75,120000,30,0.3,130728,357
hamming10-2,120000,30,0.3,131425,916
hamming10-4,120000,30,0.3,133307,999
hamming6-2,120000,30,0.3,2262,45
hamming6-4,120000,30,0.3,19635,60
hamming8-2,120000,30,0.3,23433,194
hamming8-4,120000,30,0.3,123397,245
johnson16-2-4,120000,30,0.3,30934,112
johnson32-2-4,120000,30,0.3,130027,480
johnson8-2-4,120000,30,0.3,1480,24
johnson8-4-4,120000,30,0.3,9661,60
keller4,120000,30,0.3,117454,160
keller5,120000,30,0.3,147933,759
keller6,120000,30,0.3,1408691,3340
MANN_a27,120000,30,0.3,23030,289
MANN_a45,120000,30,0.3,125472,901
MANN_a81,120000,30,0.3,225628,3178
MANN_a9,120000,30,0.3,1009,30
p_hat1000-1,120000,30,0.3,202781,994
p_hat1000-2,120000,30,0.3,129369,982
p_hat1000-3,120000,30,0.3,252069,962
p_hat1500-1,120000,30,0.3,229304,1495
c-fat500-10,120000,30,0.3,143065,374
c-fat500-2,120000,30,0.3,150964,496
c-fat500-5,120000,30,0.3,133862,436
C1000.9,120000,30,0.3,203493,964
C125.9,120000,30,0.3,24474,99
C2000.5,120000,30,0.3,766981,1993
C2000.9,120000,30,0.3,495386,1963
C250.9,120000,30,0.3,124334,213
