instance,max_time,max_it,alpha,max_elite,runtime,mvc_size
C2000.5,120000,30,0.3,400149,1993
C2000.9,120000,30,0.3,380876,1962
C250.9,120000,30,0.3,132661,211
C4000.5,120000,30,0.3,2494350,3994
C500.9,120000,30,0.3,138077,458
gen200_p0.9_44,120000,30,0.3,126286,167
gen200_p0.9_55,120000,30,0.3,129796,164
gen400_p0.9_55,120000,30,0.3,130418,361
gen400_p0.9_65,120000,30,0.3,131752,361
gen400_p0.9_75,120000,30,0.3,152716,359
hamming10-2,120000,30,0.3,75433594,865
hamming10-4,120000,30,0.3,172983,1002
instance,max_time,max_it,alpha,runtime,mvc_size
instance,max_time,max_it,alpha,runtime,mvc_size
instance,max_time,max_it,alpha,runtime,mvc_size
hamming6-2,120000,30,0.3,8772,44
hamming6-4,120000,30,0.3,19264,60
hamming8-2,120000,30,0.3,123029,189
hamming8-4,120000,30,0.3,124582,245
johnson16-2-4,120000,30,0.3,46343,112
johnson32-2-4,120000,30,0.3,138178,480
instance,max_time,max_it,alpha,runtime,mvc_size
brock200_1,120000,30,0.3,122042,183
brock200_2,120000,30,0.3,124265,192
brock200_3,120000,30,0.3,123934,189
brock200_4,120000,30,0.3,122931,187
brock400_1,120000,30,0.3,126612,383
brock400_2,120000,30,0.3,128770,382
brock400_3,120000,30,0.3,138307,383
brock400_4,120000,30,0.3,122871,383
brock800_1,120000,30,0.3,180132,789
brock800_2,120000,30,0.3,150796,789
brock800_3,120000,30,0.3,126161,788
brock800_4,120000,30,0.3,176059,789
c-fat200-1,120000,30,0.3,122952,193
instance,max_time,max_it,alpha,runtime,mvc_size
c-fat200-1,120000,30,0.3,91668,195
c-fat200-2,120000,30,0.3,56638,176
c-fat200-5,120000,30,0.3,39370,142
c-fat500-1,120000,30,0.3,129366,497
c-fat500-10,120000,30,0.3,128913,374
c-fat500-2,120000,30,0.3,142313,495
c-fat500-5,120000,30,0.3,138989,436
C1000.9,120000,30,0.3,971387,955
C125.9,120000,30,0.3,66794,97
instance,max_time,max_it,alpha,runtime,mvc_size
C125.9,120000,30,0.3,107137,96
C2000.5,120000,30,0.3,371379,1993
C2000.9,120000,30,0.3,381389,1960
C250.9,120000,30,0.3,142540,214
C4000.5,120000,30,0.3,2623662,3993
C500.9,120000,30,0.3,186794,458
gen200_p0.9_44,120000,30,0.3,135800,167
gen200_p0.9_55,120000,30,0.3,160206,162
gen400_p0.9_55,120000,30,0.3,157780,361
gen400_p0.9_65,120000,30,0.3,173249,359
gen400_p0.9_75,120000,30,0.3,144200,357
hamming10-2,120000,30,0.3,589336,869
hamming10-4,120000,30,0.3,129527,999
hamming6-2,120000,30,0.3,11664,43
hamming6-4,120000,30,0.3,28179,60
hamming8-2,120000,30,0.3,123266,184
hamming8-4,120000,30,0.3,122587,243
johnson16-2-4,120000,30,0.3,57031,112
johnson32-2-4,120000,30,0.3,136977,480
johnson8-2-4,120000,30,0.3,4334,24
johnson8-4-4,120000,30,0.3,22353,59
keller4,120000,30,0.3,124375,162
keller5,120000,30,0.3,199066,760
keller6,120000,30,0.3,1290933,3342
MANN_a27,120000,30,0.3,139409,282
MANN_a45,120000,30,0.3,524635,845
MANN_a81,120000,30,0.3,230288,3201
MANN_a9,120000,30,0.3,4011,30
p_hat1000-1,120000,30,0.3,137600,995
p_hat1000-2,120000,30,0.3,233263,982
p_hat1000-3,120000,30,0.3,124052,970
p_hat1500-1,120000,30,0.3,179703,1496
p_hat1500-2,120000,30,0.3,543250,1470
instance,max_time,max_it,alpha,runtime,mvc_size
p_hat1500-3,120000,30,0.3,541902,1466
p_hat300-1,120000,30,0.3,125268,294
