instance,N,M,runtime,search-iterations,mvc
brock200_1,200,5066,4452,31,183
brock200_2,200,10024,2208,4,193
brock200_3,200,7852,3192,9,191
brock200_4,200,6811,2899,9,187
brock400_1,400,20077,5895,10,385
brock400_2,400,20014,3606,5,386
brock400_3,400,20119,4398,4,385
brock400_4,400,20035,4917,6,385
brock800_1,800,112095,17657,1,789
brock800_2,800,111434,19208,2,787
brock800_3,800,112267,44290,7,789
brock800_4,800,111957,39032,5,788
c-fat200-1,200,18366,1632,0,188
c-fat500-1,500,120291,11446,0,486
c-fat500-2,500,115611,11309,0,474
C1000.9,1000,49420,60159,30,959
C125.9,125,786,2022,244,94
C2000.5,2000,999163,196636,1,1993
C2000.9,2000,199467,151541,15,1961
C250.9,250,3140,15497,275,211
C4000.5,4000,3997732,860564,0,3993
C500.9,500,12417,41797,130,457
gen200_p0.9_44,200,1989,10675,338,163
gen200_p0.9_55,200,1989,5605,179,163
gen400_p0.9_55,400,7979,20137,114,357
gen400_p0.9_65,400,7979,8755,57,360
gen400_p0.9_75,400,7979,27479,190,347
hamming10-2,1024,5120,630,0,512
hamming10-4,1024,89600,10882,0,992
hamming6-2,64,192,18,0,32
hamming6-4,64,1312,113,0,60
hamming8-2,256,1024,99,0,128
hamming8-4,256,11776,1080,0,240
johnson16-2-4,120,1680,152,0,112
johnson32-2-4,496,14880,1493,0,480
johnson8-2-4,28,168,16,0,24
johnson8-4-4,70,560,51,0,56
keller4,171,5100,1060,7,162
keller5,776,74710,16710,4,759
keller6,3361,1026582,213657,0,3324
MANN_a9,45,72,102,300,29
p_hat1000-1,1000,377247,43526,0,994
p_hat1000-2,1000,254701,38554,1,965
p_hat1000-3,1000,127754,14873,0,952
p_hat1500-1,1500,839327,110651,0,1493
p_hat1500-2,1500,555290,104717,1,1448
p_hat1500-3,1500,277006,43328,1,1430
p_hat300-1,300,33917,4582,2,295
p_hat300-2,300,22922,4093,5,282
p_hat300-3,300,11460,6403,22,274
p_hat500-1,500,93181,9392,0,494
p_hat500-2,500,61804,15359,6,474
p_hat500-3,500,30950,3653,1,461
p_hat700-1,700,183651,19338,0,696
p_hat700-2,700,122922,23110,1,667
p_hat700-3,700,61640,48425,25,651
san1000,1000,249000,248451,22,992
san200_0.7_1,200,5970,17020,300,184
san200_0.7_2,200,5970,10555,300,188
san200_0.9_1,200,1990,2504,300,155
san200_0.9_2,200,1990,3326,300,164
san200_0.9_3,200,1990,8495,263,167
san400_0.5_1,400,39900,225398,300,393
san400_0.7_1,400,23940,78067,300,380
san400_0.7_2,400,23940,92152,300,385
san400_0.7_3,400,23940,89366,300,388
san400_0.9_1,400,7980,20119,300,349
sanr200_0.7,200,6032,3320,12,186
sanr200_0.9,200,2037,8246,300,162
sanr400_0.5,400,39816,12872,4,391
sanr400_0.7,400,23931,4591,6,387
c-fat500-2,500,115611,26906,2,496
C4000.5,4000,3997732,1079792,1,3994
hamming10-2,1024,5120,26173,214,794
hamming10-4,1024,89600,72237,29,1001
hamming6-2,64,192,548,300,51
hamming6-4,64,1312,2356,238,60
hamming8-2,256,1024,2394,300,204
hamming8-4,256,11776,4772,16,247
johnson16-2-4,120,1680,2780,300,113
johnson32-2-4,496,14880,4301,12,481
johnson8-2-4,28,168,18,4,24
johnson8-4-4,70,560,1533,300,62
keller6,3361,1026582,513252,4,3332
p_hat1000-1,1000,377247,47959,1,996
p_hat1000-3,1000,127754,47110,5,954
p_hat500-1,500,93181,27837,3,496
p_hat700-1,700,183651,22317,1,696
c-fat500-10,500,78123,84564,0,374
p_hat1500-1,1500,839327,1211631,0,1493
c-fat200-2,200,16665,30519,0,176
c-fat200-5,200,11427,22290,0,142
c-fat500-5,500,101559,215034,0,436
instance,N,M,runtime,search-iterations,mvc
instance,N,M,runtime,search-iterations,mvc
instance,N,M,runtime,search-iterations,mvc
instance,N,M,runtime,search-iterations,mvc
instance,N,M,runtime,search-iterations,mvc
instance,N,M,runtime,search-iterations,mvc
instance,N,M,runtime,search-iterations,mvc
instance,N,M,runtime,search-iterations,mvc
instance,N,M,runtime,search-iterations,mvc
instance,N,M,runtime,search-iterations,mvc
instance,N,M,runtime,search-iterations,mvc
instance,N,M,runtime,search-iterations,mvc
instance,N,M,runtime,search-iterations,mvc
instance,N,M,runtime,search-iterations,mvc
instance,N,M,runtime,search-iterations,mvc
instance,N,M,runtime,search-iterations,mvc
instance,N,M,runtime,search-iterations,mvc
instance,N,M,runtime,search-iterations,mvc
p_hat1500-1,1500,839327,21802,0,763
instance,N,M,runtime,search-iterations,mvc
c-fat200-1,200,18366,198,0,188
c-fat200-2,200,16665,162,0,176
c-fat200-5,200,11427,168,0,142
c-fat500-1,500,120291,2582,0,486
c-fat500-10,500,78123,1758,0,374
c-fat500-5,500,101559,2162,0,436
p_hat1500-1,1500,839327,52001,0,1493
